Cluster,Silhouette,sepal length,sepal width,petal length,petal width
C1 C2 C3,continuous,continuous,continuous,continuous,continuous
meta,meta,,,,
C2,0.700676,5.1,3.5,1.4,0.2
C2,0.665989,4.9,3.0,1.4,0.2
C2,0.690178,4.7,3.2,1.3,0.2
C2,0.677784,4.6,3.1,1.5,0.2
C2,0.699043,5.0,3.6,1.4,0.2
C2,0.672942,5.4,3.9,1.7,0.4
C2,0.693669,4.6,3.4,1.4,0.3
C2,0.700453,5.0,3.4,1.5,0.2
C2,0.645739,4.4,2.9,1.4,0.2
C2,0.681067,4.9,3.1,1.5,0.1
C2,0.687612,5.4,3.7,1.5,0.2
C2,0.698592,4.8,3.4,1.6,0.2
C2,0.668474,4.8,3.0,1.4,0.1
C2,0.66082,4.3,3.0,1.1,0.1
C2,0.659584,5.8,4.0,1.2,0.2
C2,0.635396,5.7,4.4,1.5,0.4
C2,0.675559,5.4,3.9,1.3,0.4
C2,0.699562,5.1,3.5,1.4,0.3
C2,0.667565,5.7,3.8,1.7,0.3
C2,0.688072,5.1,3.8,1.5,0.3
C2,0.68546,5.4,3.4,1.7,0.2
C2,0.69094,5.1,3.7,1.5,0.4
C2,0.692615,4.6,3.6,1.0,0.2
C2,0.680657,5.1,3.3,1.7,0.5
C2,0.6943,4.8,3.4,1.9,0.2
C2,0.660391,5.0,3.0,1.6,0.2
C2,0.694958,5.0,3.4,1.6,0.4
C2,0.698098,5.2,3.5,1.5,0.2
C2,0.69708,5.2,3.4,1.4,0.2
C2,0.688086,4.7,3.2,1.6,0.2
C2,0.679188,4.8,3.1,1.6,0.2
C2,0.682614,5.4,3.4,1.5,0.4
C2,0.668152,5.2,4.1,1.5,0.1
C2,0.656437,5.5,4.2,1.4,0.2
C2,0.681067,4.9,3.1,1.5,0.1
C2,0.689911,5.0,3.2,1.2,0.2
C2,0.686238,5.5,3.5,1.3,0.2
C2,0.681067,4.9,3.1,1.5,0.1
C2,0.661709,4.4,3.0,1.3,0.2
C2,0.699195,5.1,3.4,1.5,0.2
C2,0.700486,5.0,3.5,1.3,0.3
C2,0.525795,4.5,2.3,1.3,0.3
C2,0.681053,4.4,3.2,1.3,0.2
C2,0.685738,5.0,3.5,1.6,0.6
C2,0.681731,5.1,3.8,1.9,0.4
C2,0.663655,4.8,3.0,1.4,0.3
C2,0.688361,5.1,3.8,1.6,0.2
C2,0.687618,4.6,3.2,1.4,0.2
C2,0.690783,5.3,3.7,1.5,0.2
C2,0.696817,5.0,3.3,1.4,0.2
C3,0.605059,7.0,3.2,4.7,1.4
C3,0.553059,6.4,3.2,4.5,1.5
C3,0.609772,6.9,3.1,4.9,1.5
C1,0.658447,5.5,2.3,4.0,1.3
C1,0.542135,6.5,2.8,4.6,1.5
C1,0.657177,5.7,2.8,4.5,1.3
C3,0.573124,6.3,3.3,4.7,1.6
C1,0.623181,4.9,2.4,3.3,1.0
C1,0.511836,6.6,2.9,4.6,1.3
C1,0.658526,5.2,2.7,3.9,1.4
C1,0.62718,5.0,2.0,3.5,1.0
C1,0.604149,5.9,3.0,4.2,1.5
C1,0.639662,6.0,2.2,4.0,1.0
C1,0.601746,6.1,2.9,4.7,1.4
C1,0.646145,5.6,2.9,3.6,1.3
C3,0.559875,6.7,3.1,4.4,1.4
C1,0.618671,5.6,3.0,4.5,1.5
C1,0.659815,5.8,2.7,4.1,1.0
C1,0.622134,6.2,2.2,4.5,1.5
C1,0.667873,5.6,2.5,3.9,1.1
C3,0.512357,5.9,3.2,4.8,1.8
